club_name,urls
Nashoba Valley Mineralogical Society,http://www.americantowns.com/ma/westford/organization/nashoba_valley_mineralogical_society
North Shore Rock & Mineral Club of Massachusetts,http://www.northshorerock.org/
Northern Berkshire Mineral Club,http://nbmclub.webs.com/
Southeastern Massachusetts Mineral Club,http://semmc.com/
Worcester Mineral Club,http://worcestermineralclub.org/
,
"Big Rapids Rock, Gem & Mineral Club",https://sites.google.com/site/bigrapidsrockgemmineralclub/
Central Michigan Lapidary and Mineral Society,http://michrocks.org/
Copper Country Rock and Mineral Club,http://www.ccrmc.info/
Flint Rock and Gem Club,http://www.flintrockandgem.org/
Grand Traverse Area Rock and Mineral Club,http://tcrockhounds.com/
Indian Mounds Rock & Mineral Club,http://www.indianmoundsrockclub.com/
Ishpeming Rock and Mineral Club,http://www.ishpemingrocks.org/
Kalamazoo Geological & Mineral Society,http://kalamazoorockclub.org/
Livingston Gem & Mineral Society,http://www.livingstongemandmineralsociety.com/
Michigan Gem & Mineral Society,http://mgmsrockclub.com/
Michigan Mineralogical Society,https://www.michmin.org/
Mid-Michigan Rock Club,http://www.midmichrockclub.com/?Page=1
Midwest Faceters' Guild,http://www.midwestfaceters.org/
Midwest Mineralological & Lapidary Society,http://www.mmls.us/
Mikenauk Rock and Gem Club,http://mikenaukclub.weebly.com/
Mount Clemens Gem & Lapidary Society,http://mcgls.org/
Oakland County Earth Science Club,http://www.ocesc.com/
Roamin Club,https://roaminrockclub.weebly.com/
StateLine Gem & Mineral Society,http://statelinegms.com/
"Tulip City Gem & Mineral Club, Inc.",http://www.tulipcity.org/
,
Anoka County Gem & Mineral Club,http://www.amfed.org/mwf/states/Minnesota/AnokaGem.html
"Cuyuna Rock, Gem and Mineral Society",http://cuyunarockclub.org/wp/
Minnesota Mineral Club,http://minnesotamineralclub.org/
Minnesota Valley Gem & Mineral Club,http://www.mnvalleygemandmineralclub.com/
St Croix Rockhounds,http://stcroixrockhounds.org/
,
"Harrison County Gem & Mineral Society, Inc.",http://www.gulfportgems.org/
Mississippi Gem & Mineral Society,http://missgems.org/
Mississippi Geological Society,http://www.missgeo.com/
Mississippi Gulf Coast Gem and Mineral Society,http://www.mgcgms.org/
North Mississippi Gem and Mineral Society,http://www.nmgms.org/
,
Central Missouri Rock and Lapidary Club,http://www.cmrlc.org/
Independence Gem & Mineral Society,http://www.igams.co/
Missouri Valley Gem & Mineral Society,http://www.movalleyrockclub.com/
"Mozarkite Society of Lincoln, Inc.",http://www.mozarkite.com/
Ozark Mountain Gem & Mineral Society,https://www.facebook.com/omgms.57
Rock Hobby Club of Greater Saint Louis,xxxxxhttp://rockhobby.stlearthsci.org/Home.aspxxxxxx
Rockwood Gem & Mineral Society,http://rockwood.stlearthsci.org/
St. Louis Mineral & Gem Society,http://www.stlrockclub.com/
"Show Me Gems & Minerals Club, Inc.",http://showme.stlearthsci.org/
Show-Me Rockhounds Kansas City,https://showmerockhounds.com/
,
"Billings Gem & Mineral Club, Inc.",http://www.billingsgemclub.com/
Bitterroot Gem & Mineral Society,http://www.ravalligemandmineralclub.org/
Bozeman Gem and Mineral Club,http://bozemangemandmineralclub.com/
Hellgate Mineral Society,https://www.facebook.com/HellgateMineralSociety/
Kalispell Rockhound Club,http://www.kalispellrockhounds.org/
,
"Lincoln Gem & Mineral Club, Inc.",https://www.lincolngemmineralclub.org/
,
Comstock Gold Prospectors,http://cgpgold.org/
Great Basin Gem & Mineral Club,http://greatbasingemandmineralclub.rocks/
High Desert Rockers,https://highdesertrockers.wordpress.com/
Nye Gold Seekers,http://nyegoldseekers.webs.com/
Reno Gem and Mineral Society,http://www.renorockhounds.com/
Southern Nevada Gem and Mineral Society,http://www.snvgms.org/
,
Capital Mineral Club,http://www.capitalmineralclub.org/
Keene Mineral Club,https://sites.google.com/site/keenemineralclub/home
Saco Valley Gem and Mineral Club,http://www.sacovalleygemandmineralclub.org/
Southeastern New Hampshire Mineral Club,https://www.senhmc.org/
,
